price,rooms,area,build_year,condition,energy_mark,bedrooms,prepayment,floor,total_floors,copy_not_allowed,no_broker_allowed,images_attached,is_owner,utility_summer,utility_winter,county,mun_or_city,street_adr,house_type,heating,furnished,washing_machine,balcony,yard,terrace,parking,has_internet,has_security_door,has_video_surveillance,has_storage,has_first_rent,has_deposit,has_commission,has_contract_fee,description_header_is_all_caps,description_header_length
650.0,2.0,43.1,1972.0,4.0,6.0,1.0,,9.0,9.0,False,False,32.0,False,90.0,160.0,Harjumaa,Tallinn,J. Sütiste tee 39,Kivimaja,keskküte,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,39.0
390.0,1.0,34.0,1974.0,4.0,,1.0,,1.0,5.0,False,False,13.0,False,50.0,100.0,Harjumaa,Tallinn,Ümera,Paneelmaja,keskküte,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,27.0
580.0,3.0,47.0,,4.0,,2.0,,1.0,2.0,False,False,15.0,False,,,Harjumaa,Tallinn,Sõmera 4a,Puitmaja,elektriküte,True,True,False,True,False,True,True,True,False,True,False,True,True,False,True,36.0
549.0,1.0,30.9,2022.0,5.0,6.0,1.0,,,,False,False,17.0,False,,,Harjumaa,Tallinn,Mäealuse 9,Paneelmaja,keskküte,True,True,True,False,False,False,True,True,True,False,False,True,False,True,False,18.0
520.0,2.0,51.9,,4.0,5.0,1.0,,3.0,5.0,False,False,21.0,False,250.0,300.0,Tartumaa,Tartu,Riia 9,Kivimaja,,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,14.0
1450.0,4.0,136.3,1800.0,3.0,,2.0,,2.0,4.0,False,False,21.0,False,200.0,450.0,Harjumaa,Tallinn,Dunkri 2,,,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,41.0
595.0,4.0,105.9,,3.0,,,,,,False,False,14.0,False,,,Tartumaa,Tartu,Vanemuise,Kivimaja,keskküte,True,True,False,False,False,True,True,True,False,True,True,True,True,False,True,45.0
290.0,1.0,13.0,1987.0,4.0,,,290.0,3.0,5.0,True,True,7.0,True,,,Harjumaa,Tallinn,Pallasti 33,Paneelmaja,keskküte,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0.0
500.0,1.0,23.3,2023.0,5.0,7.0,1.0,,1.0,5.0,False,False,13.0,False,,,Harjumaa,Tallinn,Talli 2,Kivimaja,"põrandaküte, keskküte",True,True,True,False,False,True,False,True,False,False,True,True,True,False,False,50.0
800.0,3.0,92.3,1977.0,4.0,,2.0,,2.0,4.0,False,False,20.0,False,,,Tartumaa,Tartu,Rüütli 22,Kivimaja,keskküte,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,36.0
350.0,1.0,16.0,,3.0,,,,2.0,2.0,False,False,7.0,False,,,Tartumaa,Tartu,Puiestee,Kivimaja,keskküte,True,False,False,False,False,False,True,True,False,False,True,True,True,False,False,41.0
1100.0,3.0,80.8,2005.0,2.0,,2.0,,3.0,8.0,False,False,21.0,False,180.0,300.0,Harjumaa,Tallinn,F. R. Faehlmanni 8,Kivimaja,"põrandaküte, gaasiküte",False,True,True,False,False,True,True,True,False,True,True,True,True,False,False,62.0
690.0,2.0,68.7,2002.0,3.0,,1.0,,4.0,7.0,False,False,36.0,False,,,Harjumaa,Tallinn,F. R. Faehlmanni 6,Kivimaja,gaasiküte,True,True,True,False,False,False,True,False,False,False,True,True,True,False,False,20.0
350.0,3.0,59.5,1973.0,3.0,4.0,2.0,,3.0,5.0,False,False,14.0,False,,,Tartumaa,Tartu,Kalda tee 14,Paneelmaja,keskküte,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,18.0
480.0,1.0,44.4,1937.0,4.0,,1.0,,2.0,3.0,False,False,17.0,False,,,Harjumaa,Tallinn,Kungla 18,Puitmaja,"gaasiküte, põrandaküte",True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,24.0
677.0,2.0,35.7,2019.0,3.0,7.0,1.0,,3.0,6.0,False,False,12.0,False,74.0,137.0,Harjumaa,Tallinn,Pille 7/4,Kivimaja,"keskküte, põrandaküte",True,True,False,False,False,False,True,True,True,False,True,True,True,False,False,48.0
375.0,1.0,28.6,1965.0,3.0,,,,5.0,5.0,False,False,14.0,False,60.0,80.0,Tartumaa,Tartu,Uus 13c,,keskküte,True,True,False,False,False,True,True,True,False,False,True,True,True,False,False,40.0
2200.0,3.0,73.6,2021.0,5.0,7.0,2.0,,1.0,2.0,False,False,21.0,False,,,Harjumaa,Tallinn,Tildri 7,Kivimaja,"keskküte, põrandaküte",True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,64.0
650.0,1.0,36.1,2020.0,3.0,7.0,1.0,,3.0,8.0,False,False,20.0,False,80.0,120.0,Harjumaa,Tallinn,Pärnu mnt 33,Kivimaja,"keskküte, põrandaküte",True,True,False,False,False,False,True,True,False,False,True,True,True,False,False,37.0
750.0,2.0,62.7,2022.0,5.0,,1.0,,3.0,4.0,False,False,17.0,False,,,Tartumaa,Tartu,Lutsu 14,Kivimaja,"keskküte, põrandaküte",True,True,False,True,False,True,True,False,False,True,True,True,True,False,False,63.0
950.0,3.0,61.2,,4.0,,,,1.0,3.0,False,False,27.0,False,,,Tartumaa,Tartu,Vallikraavi 10,Kivimaja,keskküte,True,True,False,True,False,True,True,False,True,False,False,True,False,False,False,46.0
600.0,2.0,65.0,2006.0,3.0,,,600.0,2.0,3.0,False,False,13.0,False,160.0,220.0,Harjumaa,Tallinn,Merivälja tee 70,Kivimaja,,True,False,False,False,False,True,False,False,False,True,True,True,True,False,False,46.0
550.0,2.0,48.0,2005.0,3.0,,1.0,,1.0,3.0,False,False,7.0,False,,,Harjumaa,Tallinn,Pilve 4-13,Kivimaja,keskküte,True,False,False,False,False,True,True,True,True,False,False,False,True,False,False,44.0
250.0,1.0,34.0,2005.0,3.0,4.0,,,5.0,5.0,False,False,11.0,False,,,Tartumaa,Tartu,Puiestee 112a,Paneelmaja,keskküte,True,True,True,False,False,True,True,False,False,True,True,False,False,True,True,16.0
